Matricula,Razon_Soc,Direccion,Localidad,Partido_Depto,PROVINCIA,CodPost,EMail,Telefono,CUIT,FechaInsc,Actividad
31084,COOP DE TRABAJO NUEVA ENERGIA AGROINDUSTRIAL ALEJANDRO LTDA,NIEVES MARTIJENA N° 330,ALEJANDRO,JUAREZ CELMAN,CORDOBA,X0,,,,19/09/2006,TRABAJO
31085,COOP DE TRABAJO CHACO ARGENTINO LTDA,PASAJE 1001 N° 4638,ROSARIO,ROSARIO,SANTA FE,S2000,,,,19/09/2006,TRABAJO
31086,COOP APICOLA Y DE GRANJA GENERAL ALVARADO LTDA,DIAG. F. DE LA PLAZA N° 1477,MIRAMAR (BA),GENERAL ALVARADO,BUENOS AIRES,B7607,,,,19/09/2006,DE PROVISION
31087,"COOP DE VIVIENDA, CREDITO Y CONSUMO CODEVIFRA LTDA",AV. FEDERICO LACROZE N° 4181 piso 5,C. Autonoma de Bs As,,CAPITAL FEDERAL,C1096,,,,19/09/2006,VIVIENDA Y CONSTRUCCION - CREDITO Y CONSUMO
31089,COOP DE TRABAJO EDUCATIVA EDUNEXUS LTDA,LAPRIDA N° 385,SAN MIGUEL DE TUCUMAN,CAPITAL (TUC),TUCUMAN,T4000,,,,20/09/2006,TRABAJO
31090,COOP DE VIVIENDA ASUNCION LTDA,COLOMBRES N° 132 piso 5 Of/Dto/Loc:B,C. Autonoma de Bs As,,CAPITAL FEDERAL,C1177,,,,20/09/2006,VIVIENDA Y CONSTRUCCION
31091,COOP DE TRABAJO INCA HUASI LTDA,ESPAÑA N° 183,LA QUIACA,YAVI,JUJUY,Y4650,,,,28/09/2006,TRABAJO
31092,COOP DE TRABAJO EL ALICATE LTDA,NATALIO NOVELLO,LARROQUE,GUALEGUAYCHU,ENTRE RIOS,E2854,,,,28/09/2006,TRABAJO
31093,COOP DE TRABAJO LAS ESTRELLAS LTDA,LUKAS KNEETEMAN,LARROQUE,GUALEGUAYCHU,ENTRE RIOS,E2854,,,,28/09/2006,TRABAJO
31094,COOP DE TRABAJO JUANA AZURDUY 2 LTDA,CALLE 423 Y 10,LA PLATA,LA PLATA,BUENOS AIRES,B1900,,,,28/09/2006,TRABAJO
31095,COOP DE TRABAJO JATUN PUNKU LTDA,AV. ESPAÑA N° 183,LA QUIACA,YAVI,JUJUY,Y4650,,,,28/09/2006,TRABAJO
31096,COOP DE TRABAJO GENERAL SAN MARTIN LTDA,AV. ESPAÑA N° 183,LA QUIACA,YAVI,JUJUY,Y4650,,,,28/09/2006,TRABAJO
31097,COOP DE TRABAJO VIVIENDA DIGNA LTDA,AV. ESPAÑA N° 183 B° LOC: ABDON CASTRO TOLAY,YAVI,YAVI,JUJUY,Y4650,,,,28/09/2006,TRABAJO
31098,COOP DE TRABAJO JUANA AZURDUY 1 LTDA,CALLE 146 Y 49,LA PLATA,LA PLATA,BUENOS AIRES,B1900,,,,28/09/2006,TRABAJO
31099,COOP DE TRABAJO MANOS LIBRES LTDA,CALLE 152 E/ 35 Y 36,LA PLATA,LA PLATA,BUENOS AIRES,B1900,,,,28/09/2006,TRABAJO
31100,"COOP AGROPECUARIA APICOLA ""LOS CORONELES"" LTDA",CAMINO VECINAL B° LOC: SHISPI,AYUNCHA,ATAMISQUI,SANTIAGO DEL ESTERO,G4315,coopagroloscoroneles@yahoo.com.ar,0385-154041667,30-71001315-9,29/09/2006,AGROPECUARIA
31101,COOP DE TRABAJO IMAGEN COMUNICACIONAL LTDA,AVENIDA DE MAYO N° 665 piso 6 Of/Dto/Loc:19,C. Autonoma de Bs As,,CAPITAL FEDERAL,C1084,,,,29/09/2006,TRABAJO
31102,COOP DE TRABAJO SEGUNDA GENERACION LTDA,AVENIDA AVELLANEDA N° 756,ROSARIO,ROSARIO,SANTA FE,S2000,,,,29/09/2006,TRABAJO
31103,COOP MISIONERA DE PRODUCTORES FORESTALES LTDA,AVENIDA LIBERTADOR N° 3200,ELDORADO,EL DORADO,MISIONES,N3380,,,,29/09/2006,DE PROVISION
31104,"COOP DE VIVIENDA ""DEL OTRO LADO"" LTDA",ESTEBAN DE LUCA N° 1882,C. Autonoma de Bs As,,CAPITAL FEDERAL,C1246,,,,29/09/2006,VIVIENDA Y CONSTRUCCION
31105,"COOP VITIVINICOLA, HORTICOLA, FRUTICOLA Y OLIVICOLA ""PRODUCTORES ORGANICOS MENDOZA SUR"" LTDA",CHAMPAGNAT N° 259 B° LOC: LIBRO NO DICE,SAN RAFAEL,SAN RAFAEL,MENDOZA,M0,,,,29/09/2006,DE PROVISION
31106,"COOP DE CONSUMO, SERVICIOS ASISTENCIALES Y VIVIENDA ""NORDESTE"" LTDA",CELMIRA G. DEL CABRAL N° 777 B° JUDICIAL,RESISTENCIA,SAN FERNANDO (CHA),CHACO,H3500,,,,29/09/2006,CONSUMO - VIVIENDA
31107,COOP DE TRABAJO LOS ARTESANOS LTDA,HONORIO PUEYRREDON N° 1320,C. Autonoma de Bs As,,CAPITAL FEDERAL,C1414,,,,29/09/2006,TRABAJO
31108,"""PAMPA COOP DE PROVISION E INDUSTRIALIZACION AGROPECUARIA LTDA""",AVENIDA BELGRANO N° 687 piso 9 Of/Dto/Loc:36,C. Autonoma de Bs As,,CAPITAL FEDERAL,C1092,pampacooperativa@gmail.com,4331-9187,30-70987725-5,29/09/2006,DE PROVISION
31109,"""RADIOTAXI COTAX COOP DE PROVISION DE SERVICIOS LTDA""",ANCHORENA N° 260,C. Autonoma de Bs As,,CAPITAL FEDERAL,C1170,,,,29/09/2006,DE PROVISION
31110,COOP AGROINDUSTRIAL SAN ANTONIO LTDA,RODRIGUEZ PEÑA N° 554 piso 3 Of/Dto/Loc:D,C. Autonoma de Bs As,,CAPITAL FEDERAL,C1020,,,,29/09/2006,AGROPECUARIA - AGROINDUSTRIAL
31111,"COOP CAPRINA LECHERA ""SIERRAS DE GRACIAN"" LTDA",AVENIDA LA CALLECITA B° RUTA PROV. Nº 41,LA CARRERA (10674),FRAY MAMERTO ESQUIU,CATAMARCA,K4711,,,,29/09/2006,DE PROVISION
31112,COOP DE VIVIENDA SEGUIMOS ADELANTE LTDA,AVENIDA CASEROS N° 3587,C. Autonoma de Bs As,,CAPITAL FEDERAL,C1263,,,,05/10/2006,VIVIENDA Y CONSTRUCCION
31113,COOP GRANJERA SANTA BARBARA PAMPA DE OLAEN LTDA,CAMINO PAMPA DE OLAEN,LA FALDA,PUNILLA,CORDOBA,X5172,,,,05/10/2006,DE PROVISION
31114,COOP AGROPECUARIA Y DE VIVIENDA LOS SALTOS LTDA,"INTERNA, CASA 6 N° 3 B° 80",SAN VICENTE (MI),GUARANI,MISIONES,N3364,,,,05/10/2006,AGROPECUARIA
31115,COOP DE TRABAJO INTEGRAL BIOTA LTDA,RIOJA N° 332,SANTIAGO DEL ESTERO,CAPITAL (SG),SANTIAGO DEL ESTERO,G4200,,,,05/10/2006,TRABAJO
31116,"COOP DE TRABAJO ""LA ESENCIA"" LTDA",BURGUEÑO N° 35,GLEW,ALMIRANTE BROWN (BA),BUENOS AIRES,B1856,,,,05/10/2006,TRABAJO
31117,COOP DE TRABAJO CONSTRUYENDO MDQ LTDA,11 DE SEPTIEMBRE N° 5450,MAR DEL PLATA,GENERAL PUEYRREDON,BUENOS AIRES,B7600,,,,05/10/2006,TRABAJO
31118,COOP DE TRABAJO TEXTIL HOFE LTDA,AVENIDA RIVADAVIA N° 583,LAS FLORES (586),LAS FLORES,BUENOS AIRES,B7200,,,,05/10/2006,TRABAJO
31119,COOP CUNICOLA ONCATIVO LTDA,HIPOLITO IRIGOYEN N° 560,ONCATIVO,RIO SEGUNDO,CORDOBA,X5986,,,,05/10/2006,DE PROVISION
31120,"COOP APICOLA, GRANJERA Y FRUTIHORTICOLA EL MOJO LTDA",SIN DATOS CALLE B° LOC: PARAJE EL MOJO,BAJO HONDO (322),GENERAL GUEMES,CHACO,H0,,,,05/10/2006,DE PROVISION
31121,COOP DE PROVISION Y COMERCIALIZACION MEDERERA COOPERMAD LTDA,SIN DATOS CALLE B° SANTA LUCIA,MACHAGAI,25 DE MAYO (CHA),CHACO,H3534,,,,05/10/2006,DE PROVISION
31122,"COOP DE PROVISION DE SERVICIOS ""CINCOCAR"" LTDA",ALEMANIA N° 2345,POSADAS,CAPITAL (MI),MISIONES,N3300,,,,05/10/2006,DE PROVISION
31123,COOP DE TRABAJO AGUIMAR LTDA,DEAN FUNES N° 425,C. Autonoma de Bs As,,CAPITAL FEDERAL,C1214,,,,05/10/2006,TRABAJO
31124,"COOP DE TRABAJO ""CONSTRUC-COOP"" LTDA",12 DE OCTUBRE N° 3432 piso 2 Of/Dto/Loc:6,MAR DEL PLATA,GENERAL PUEYRREDON,BUENOS AIRES,B7600,,,,05/10/2006,TRABAJO
31125,COOP DE TRABAJO LA NUEVA LTDA,ALGARROBO N° 3012,BURZACO,ALMIRANTE BROWN (BA),BUENOS AIRES,B1852,,,,05/10/2006,TRABAJO
31126,COOP DE AGUA POTABLE Y OTROS SERVICIOS PUBLICOS GARUPE-MI LTDA,SIN DATOS CALLE,GARUPA,CAPITAL (MI),MISIONES,N3304,,,,05/10/2006,DE PROVISION
31127,"COOP DE TRABAJO Y CONSUMO ""ADULAM"" LTDA",PERITO MORENO N° 730,TRELEW,RAWSON,CHUBUT,U9100,,,,06/10/2006,TRABAJO - CONSUMO
31128,COOP DE VIVIENDA AMADEUS LTDA,VARELA N° 1237,C. Autonoma de Bs As,,CAPITAL FEDERAL,C1407,,,,06/10/2006,VIVIENDA Y CONSTRUCCION
31129,COOP DE TRABAJO CALAFATE LTDA,MARCOS PAZ N° 1830,MORENO,MORENO (BA),BUENOS AIRES,B1744,,,,06/10/2006,TRABAJO
31130,COOP DE PROVISION DE SERVICIOS GRUPO DE PRACTICAS DE MEDICINA FAMILIAR LTDA,CORDOBA N° 1522 piso 1,C. Autonoma de Bs As,,CAPITAL FEDERAL,C1120,,,,06/10/2006,DE PROVISION
31131,COOP DE TRABAJO COOPEMP LTDA,3 DE FEBRERO N° 1138 piso PB,ROSARIO,ROSARIO,SANTA FE,S2000,,,,06/10/2006,TRABAJO
31132,COOP DE TRABAJO Y CONSUMO FENIX LTDA,ROCA N° 116,CUTRAL CO,CONFLUENCIA,NEUQUEN,Q8322,,,,06/10/2006,TRABAJO - CONSUMO
31133,"COOP AGROPECUARIA Y FORESTAL ""LAS SERRANITAS"" LTDA",H. SARAVIA CANEPAS,CERRILLOS,CERRILLOS,SALTA,A4403,,,,06/10/2006,AGROPECUARIA
31134,COOP DE TRABAJO KOKEPLAS LTDA,CALLE 109 E/ 1 Y 3 B° LOC: LIBRO NO DICE,SAN LUIS,LA CAPITAL (SL),SAN LUIS,D5700,,,,06/10/2006,TRABAJO
31135,"COOP AGRICOLA Y GANADERA ""REVIVIR"" LTDA",JAVIER MOLINA N° 65,PALMIRA,SAN MARTIN (MZ),MENDOZA,M5584,,,,09/10/2006,DE PROVISION
31136,COOP APICOLA ARGENTINA SURGBA LTDA,CALLE 312 N° 1847,BERAZATEGUI,BERAZATEGUI,BUENOS AIRES,B1884,,,,09/10/2006,DE PROVISION
31137,"COOP DE AGUA Y SERVICIOS PUBLICOS DE PUERTO IGUAZU ""ACUIFERO GUARANI"" LTDA",1º DE MAYO N° 211,PUERTO IGUAZU,IGUAZU,MISIONES,N3370,,,,09/10/2006,DE PROVISION
31138,"COOP DE TRABAJO ""LOS HORCONES"" LTDA",VENEZUELA N° 4832,ISIDRO CASANOVA,LA MATANZA,BUENOS AIRES,B1765,,,,09/10/2006,TRABAJO
31139,COOP DE TRABAJO CRIST-SOL LTDA,CALLE 36 N° 1107,MERCEDES (BA),MERCEDES (BA),BUENOS AIRES,B6600,,,,09/10/2006,TRABAJO
31140,COOP DE TRABAJO 7 DE SEPTIEMBRE LTDA,FLEMING N° 548,BERNAL,QUILMES,BUENOS AIRES,B1876,,4259-2404,,09/10/2006,TRABAJO
31141,"VISION COOP DE CREDITO, CONSUMO, VIVIENDA, TURISMO Y SERVICIOS ASISTENCIALES LTDA",SAN MARTIN N° 320 piso 5,C. Autonoma de Bs As,,CAPITAL FEDERAL,C1004,,,,09/10/2006,CREDITO - CONSUMO - VIVIENDA
31142,COOP DE TRABAJO CPI PILOTS LTDA,HUDSON N° 1691,BECCAR,SAN ISIDRO,BUENOS AIRES,B1643,,,,10/10/2006,TRABAJO
31143,COOP DE TRABAJO ESPEJO DE MAR LTDA,MARCELO T. DE ALVEAR N° 1031,MAR DEL PLATA,GENERAL PUEYRREDON,BUENOS AIRES,B7600,,,,10/10/2006,TRABAJO
31144,COOP DE TRABAJO NEWEN LTDA,CALLE 340 N° 3574,QUILMES,QUILMES,BUENOS AIRES,B1878,,,,10/10/2006,TRABAJO
31145,COOP DE PROVISION DE SERVICIOS PARA PRODUCTORES RURALES DEL NOROESTE LTDA,CABRERA N° 1048,JUNIN,JUNIN (BA),BUENOS AIRES,B6000,,,,10/10/2006,DE PROVISION
31146,"LOMAS COOP DE CREDITO, CONSUMO Y VIVIENDA LTDA",OLIDEN N° 1180 piso PB Of/Dto/Loc:A,LOMAS DE ZAMORA,LOMAS DE ZAMORA,BUENOS AIRES,B1832,,,,10/10/2006,CREDITO - CONSUMO - VIVIENDA
31147,COOP DE TRABAJO INCOB (INDUSTRIA DE LA CARNE OBRERA) LTDA,HOLDICH N° 1874,BAHIA BLANCA,BAHIA BLANCA,BUENOS AIRES,B8000,,,,10/10/2006,TRABAJO
31148,COOP CUNICOLA Y GRANJERA COOPEPAZ LTDA,GELLY Y OBES N° 4066,JOSE CLEMENTE PAZ,JOSE CLEMENTE PAZ,BUENOS AIRES,B1665,,,,10/10/2006,DE PROVISION
31149,"COOP DE TRABAJO ""LA VICTORIA"" LTDA",CALLE 889 N° 1175,SAN FRANCISCO SOLANO,QUILMES,BUENOS AIRES,B1879,,,,10/10/2006,TRABAJO
31150,COOP DE TRABAJO LOS OLIVOS LTDA,CORONEL BOGADO N° 74,BOULOGNE,SAN ISIDRO,BUENOS AIRES,B1609,,,,10/10/2006,TRABAJO
31151,COOP DE TRABAJO M - S LTDA,CORONEL SUAREZ N° 1810,MAR DEL PLATA,GENERAL PUEYRREDON,BUENOS AIRES,B7600,,,,10/10/2006,TRABAJO
31152,COOP DE PROVISION DE SERVICIOS PARA TRASPORTISTAS DE CARGAS Y AFINES COOPTRASER LTDA,CONGRESO N° 547,SAN MIGUEL DE TUCUMAN,CAPITAL (TUC),TUCUMAN,T4000,,,,10/10/2006,DE PROVISION
31153,"COOP DE VIVIENDA, CREDITO Y CONSUMO RESGUARDO LTDA",SAN JUAN N° 166 piso 1 Of/Dto/Loc:A,PARANA,PARANA,ENTRE RIOS,E3100,,,,10/10/2006,VIVIENDA Y CONSTRUCCION - CREDITO Y CONSUMO
31154,COOP DE PROVISION DE SERVICIOS ARRECIFES LTDA,ESPAÑA N° 2143,ROSARIO,ROSARIO,SANTA FE,S2000,,,,11/10/2006,DE PROVISION
31155,DIVISAR COOP DE TRABAJO LTDA,PARANA N° 489 piso 2 Of/Dto/Loc:12,C. Autonoma de Bs As,,CAPITAL FEDERAL,C1017,,,,11/10/2006,TRABAJO
31156,COOP DE TRABAJO POSTA DE SAN MARTIN LTDA,ANIBAL MAFFEI N° 944,ARROYO SECO,ROSARIO,SANTA FE,S2128,,,,11/10/2006,TRABAJO
31157,COOP FRUTI-HORTICOLA FORESTAL NORPATAGONICA LTDA,QUINQUELA MARTIN Y GRAL ROCA,CONTRALMIRANTE CORDERO,GENERAL ROCA (RN),RIO NEGRO,R8301,norpatagonica@hotmail.com,0299-4952147,,12/10/2006,DE PROVISION
31158,"COOP DE TRABAJO ""ALFA GROUP"" LTDA",CALLE 27 N° 988,25 DE MAYO,25 DE MAYO (BA),BUENOS AIRES,B6660,,,,12/10/2006,TRABAJO
31159,COOP DE TRABAJO CASA BASE LTDA,RAMON CARRILLO N° 578,C. Autonoma de Bs As,,CAPITAL FEDERAL,C1275,moi_coop@yahoo.com.ar,4301-6818,,12/10/2006,TRABAJO
31160,COOP DE VIVIENDA MERCOSUR LTDA,CASTELLI N° 190 piso 1F,C. Autonoma de Bs As,,CAPITAL FEDERAL,C1031,,,,12/10/2006,VIVIENDA Y CONSTRUCCION
31161,COOP DE VIVIENDA CASA PARA TODOS LTDA,ESTADOS UNIDOS N° 2957,C. Autonoma de Bs As,,CAPITAL FEDERAL,C1227,,,,12/10/2006,VIVIENDA Y CONSTRUCCION
31162,COOP DE VIVIENDA CAMINO AL HOGAR III LTDA,VIRREY LINIERS N° 1222,C. Autonoma de Bs As,,CAPITAL FEDERAL,C1241,,,,12/10/2006,VIVIENDA Y CONSTRUCCION
31163,"COOP DE PROVISION, INDUSTRIALIZACION Y COMERCIALIZACION ALOE DEL LITORAL LTDA",RUTA NAC. 14 KM- ESQ.9 Y 12 N° 3980 B° Area industrial de chajari,CHAJARI,FEDERACION,ENTRE RIOS,E3228,,,,12/10/2006,DE PROVISION
31164,COOP DE PROVISION DE SERVICIOS DE TRANSPORTE CORDOBA VIP LTDA,LEON PINELO N° 2651 B° ROSEDAL ANEXO,CORDOBA,CAPITAL (CBA),CORDOBA,X5000,,,,12/10/2006,DE PROVISION
31165,COOP DE TRABAJO LA MARCA LTDA,CALDERON DE LA BARCA N° 1228 piso PB,TEMPERLEY,LOMAS DE ZAMORA,BUENOS AIRES,B1834,,,,12/10/2006,TRABAJO
31166,"COOP DE VIVIENDA, CREDITO Y CONSUMO ""SAN CAYETANO"" LTDA",URIBURU N° 1445 Of/Dto/Loc:2,QUILMES,QUILMES,BUENOS AIRES,B1878,,,,12/10/2006,VIVIENDA Y CONSTRUCCION - CREDITO Y CONSUMO
31167,COOP CUNICOLA Y GRANJERA DE DAIREAUX LTDA,PELLEGRINI N° 150,DAIREAUX,DAIREAUX,BUENOS AIRES,B6555,,,,12/10/2006,DE PROVISION
31168,"COOP AGROPECUARIA DE PRODUCTORES ""LA CAROLINA"" LTDA",VENEZUELA N° 2222,QUILMES,QUILMES,BUENOS AIRES,B1878,,,,12/10/2006,AGROPECUARIA
31169,COOP GRANJERA Y AVICOLA MAR DE AJO LTDA,RIO URUGUAY N° 263,MAR DE AJO,DE LA COSTA,BUENOS AIRES,B7109,,,,12/10/2006,DE PROVISION
31170,COOP DE TRABAJO AVAN LTDA,"RUTA 8, KM 51,200",PILAR (BA),PILAR,BUENOS AIRES,B1629,,,,12/10/2006,TRABAJO
31171,COOP DE TRABAJO ALMIRANTE BROWN LTDA,BROWN N° 250,ALMIRANTE BROWN,ALMIRANTE BROWN (BA),BUENOS AIRES,B1846,,,,13/10/2006,TRABAJO
31172,COOP DE TRABAJO LOS POTRILLOS LTDA,SAN MARTIN,GARUPA,CAPITAL (MI),MISIONES,N3304,,,,13/10/2006,TRABAJO
31173,COOP DE TRABAJO CHE`POYA LTDA,SAN MARTIN,GARUPA,CAPITAL (MI),MISIONES,N3304,,,,13/10/2006,TRABAJO
31174,COOP DE TRABAJO EL SOL LTDA,SAN MARTIN,GARUPA,CAPITAL (MI),MISIONES,N3304,,,,17/10/2006,TRABAJO
31175,COOP DE TRABAJO PARADA 23 LTDA,URQUIZA N° 150 piso PB Of/Dto/Loc:D,C. Autonoma de Bs As,,CAPITAL FEDERAL,C1215,,,,17/10/2006,TRABAJO
31176,COOP DE TRABAJO LIBRES DEL SUR CONSTRUCCIONES LTDA,HERNANDARIAS N° 4748,MAR DEL PLATA,GENERAL PUEYRREDON,BUENOS AIRES,B7600,,,,17/10/2006,TRABAJO
31177,"COOP DE TRABAJO ""SANTA TERESITA"" LTDA",25 DE MAYO,VILLA MANTERO,URUGUAY,ENTRE RIOS,E3272,,,,17/10/2006,TRABAJO
31178,COOP DE TRABAJO LA MINGA LTDA,AYACUCHO N° 1356,ONCATIVO,RIO SEGUNDO,CORDOBA,X5986,,,,17/10/2006,TRABAJO
31179,"COOP DE TRABAJO ""CREANDO ESPERANZAS"" LTDA",RIOBAMBA N° 67 piso 2,C. Autonoma de Bs As,,CAPITAL FEDERAL,C1025,,,,17/10/2006,TRABAJO
31180,"COOP DE PROVISION DE SERVICIOS PARA PRODUCTORES ARTESANOS, TURISTICOS Y AGROINDUSTRIALES ""SANAGASTA"" LTDA",LOS MAESTROS,VILLA SANAGASTA,SANAGASTA,LA RIOJA,F5301,,,,17/10/2006,DE PROVISION
31181,COOP DE TRABAJO CAMACHO MAR LTDA,AZOPARDO N° 4735,MAR DEL PLATA,GENERAL PUEYRREDON,BUENOS AIRES,B7600,,,,17/10/2006,TRABAJO
31182,COOP DE TRABAJO QOM LOONATAACX LTDA,BARRA N° 2148,ROSARIO,ROSARIO,SANTA FE,S2000,,,,17/10/2006,TRABAJO
31183,"COOP DE TRABAJO ""ELECTROMECANICA SELUIS"" LTDA",GANZO VERDE B° NUEVA ESPERANZA,LA RIOJA,CAPITAL (LR),LA RIOJA,F5300,,,,17/10/2006,TRABAJO
31184,COOP DE TRABAJO Y CONSUMO FUERZA JOVEN LTDA,"MZ 26, PC 21 B° MUJERES ARGENTINAS",RESISTENCIA,SAN FERNANDO (CHA),CHACO,H3500,,,,17/10/2006,TRABAJO - CONSUMO
31185,"COOP DE PROVISION DE SERVICIOS PARA CAPACITADORES Y PROMOTORES SOCIALES ""REGION CENTRO"" LTDA",ISTHILART N° 1322,CONCORDIA,CONCORDIA,ENTRE RIOS,E3200,,,,17/10/2006,DE PROVISION
31186,"COOP DE TRABAJO MINERA ABORIGEN ""PIEDRA BUENA"" LTDA",MORENO N° 249,ABRA PAMPA,COCHINOCA,JUJUY,Y4640,,,,17/10/2006,TRABAJO
31187,"COOP AGROPECUARIA, APICOLA Y DE VIVIENDA ""CUARTEL DE LAS CHUÑAS"" LTDA",SIN DATOS CALLE,ÑOQUEVES,ROSARIO VERA PEÑALOZA,LA RIOJA,F5471,,,,17/10/2006,AGROPECUARIA
31188,"AGROPECUARIA ""ALTO VERDE"" COOP LTDA",25 DE AMYO Y SARMIENTO,ALTO VERDE (272),CHICLIGASTA,TUCUMAN,T4153,,,,17/10/2006,AGROPECUARIA
31189,COOP DE TRABAJO ESPERANZA 20 DE JUNIO LTDA,PASAJE SARRATEA N° 253,TRELEW,RAWSON,CHUBUT,U9100,,,,17/10/2006,TRABAJO
31190,COOP DE TRABAJO Y CONSUMO PATAGONIA AMBIENTAL LTDA,LA PLATA N° 1411,COMODORO RIVADAVIA,ESCALANTE,CHUBUT,U9000,,,,17/10/2006,TRABAJO - CONSUMO
31191,COOP DE VIVIENDA SANTA CECILIA LTDA,SAN JUAN N° 125,USHUAIA,USHUAIA,TIERRA DEL FUEGO,V9410,,,,17/10/2006,VIVIENDA Y CONSTRUCCION
31192,"COOP DE PROVISION DE SERVICIOS PARA PRODUCTORES RURALES ""SER-AGRO"" LTDA",CORDOBA N° 838 Of/Dto/Loc:4,SAN MIGUEL DE TUCUMAN,CAPITAL (TUC),TUCUMAN,T4000,,,,18/10/2006,DE PROVISION
31193,"COOP DE VIVIENDA ""1º DE MAYO"" LTDA",ALFREDO PALACIOS N° 2789,USHUAIA,USHUAIA,TIERRA DEL FUEGO,V9410,,,,18/10/2006,VIVIENDA Y CONSTRUCCION
31194,COOP DE TRABAJO LAS RANITAS LTDA,ALVEAR N° 1152,SAN SALVADOR DE JUJUY,DR MANUEL BELGRANO,JUJUY,Y4600,,,,20/10/2006,TRABAJO
31195,COOP DE TRABAJO SIN DESCANSO LTDA,MITRE N° 6 B° LOC: EL CARMEN,EL CARMEN,EL CARMEN,JUJUY,Y4603,,,,01/11/2006,TRABAJO
31196,COOP DE TRABAJO AGUAS DEL TAFI DEL VALLE LTDA,TAFI DEL VALLE,TAFI DEL VALLE,TAFI DEL VALLE,TUCUMAN,T4137,,,,01/11/2006,TRABAJO
31197,COOP DE TRABAJO ESPERANZA LTDA,MITRE N° 6 B° LOC: EL CARMEN,EL CARMEN,EL CARMEN,JUJUY,Y4603,,,,01/11/2006,TRABAJO
31198,COOP DE TRABAJO RENACER LTDA,MITRE N° 6 B° LOC: EL CARMEN,EL CARMEN,EL CARMEN,JUJUY,Y4603,,,,01/11/2006,TRABAJO
31199,COOP DE TRABAJO CRECER LTDA,SAN MARTIN Y PTE PERON B° LOC: EL CARMEN,EL CARMEN,EL CARMEN,JUJUY,Y4603,,,,01/11/2006,TRABAJO
31200,COOP DE TRABAJO LA ROCA LTDA,SANTA MARIA DE ORO N° 35,FLORENCIO VARELA,FLORENCIO VARELA,BUENOS AIRES,B1888,,,,01/11/2006,TRABAJO
31201,COOP DE TRABAJO LAS DIAGONALES LTDA,CALLE 56 E/ 10 Y 11 N° 794,LA PLATA,LA PLATA,BUENOS AIRES,B1900,,,,01/11/2006,TRABAJO
31202,COOP DE TRABAJO SAN MARCOS DE LEON LTDA,FITZ ROY N° 997,HURLINGHAM,HURLINGHAM,BUENOS AIRES,B1686,,,,01/11/2006,TRABAJO
31203,COOP DE TRABAJO FRANCISCO RODRIGUEZ LTDA,BOLIVAR N° 1941,POSADAS,CAPITAL (MI),MISIONES,N3300,,,,01/11/2006,TRABAJO
31204,COOP DE TRABAJO EL HORNERO LTDA,BOLIVAR N° 1941,POSADAS,CAPITAL (MI),MISIONES,N3300,,,,02/11/2006,TRABAJO
31205,COOP DE TRABAJO ROGA RAPE LTDA,OCEANO ATLANTICO N° 9675,POSADAS,CAPITAL (MI),MISIONES,N3300,,,,02/11/2006,TRABAJO
31206,COOP DE TRABAJO YAGUARETE-ITE LTDA,BUSTAMANTE Y 115,POSADAS,CAPITAL (MI),MISIONES,N3300,,,,02/11/2006,TRABAJO
31207,COOP DE TRABAJO VIVIENDA PARA TODOS LTDA,23 DE AGOSTO N° 250,MONTERRICO,EL CARMEN,JUJUY,Y4603,,,,02/11/2006,TRABAJO
31208,COOP DE TRABAJO LOS LAPACHOS LTDA,23 DE AGOSTO N° 250,MONTERRICO,EL CARMEN,JUJUY,Y4603,,,,02/11/2006,TRABAJO
31209,COOP DE TRABAJO POR UN TECHO FELIZ LTDA,23 DE AGOSTO N° 250,MONTERRICO,EL CARMEN,JUJUY,Y4603,,,,02/11/2006,TRABAJO
31210,COOP DE TRABAJO LOS MONTERRIQUEÑOS LTDA,23 DE AGOSTO N° 250,MONTERRICO,EL CARMEN,JUJUY,Y4603,,,,02/11/2006,TRABAJO
31211,COOP DE TRABAJO COMPAÑEROS INTEGRADOS DE COOPERATIVAS LTDA,SENADOR PEREZ N° 84,ABRA PAMPA,COCHINOCA,JUJUY,Y4640,,,,02/11/2006,TRABAJO
31212,COOP DE TRABAJO EL PROGRESO LTDA,SENADOR PEREZ N° 84 B° LOC: EL CARMEN,EL CARMEN,EL CARMEN,JUJUY,Y4603,,,,02/11/2006,TRABAJO
31213,"""PRODUCCIONES INTEGRALES DE COMUNICACIÓN"" COOP DE TRABAJO LTDA",CALLE 9 E/ 22 Y 24 N° 1121,GENERAL PICO,MARACO,LA PAMPA,L6360,,,,02/11/2006,TRABAJO
31214,"COOP DE TRABAJO ""CONSTRUCTORES"" LTDA",AV. LOPEZ Y PLANES N° 4235,POSADAS,CAPITAL (MI),MISIONES,N3300,,,,02/11/2006,TRABAJO
31215,COOP DE TRABAJO DE DISCAPACIDAD SOL Y VIDA LTDA,ECHEANDIA N° 4987,C. Autonoma de Bs As,,CAPITAL FEDERAL,C1439,,,,02/11/2006,TRABAJO
31216,"COOP ""UNION Y ESFUERZO"" LTDA DE TRABAJO, CONSUMO Y VIVIENDA",VIUDA DE ROSS N° 1300,RESISTENCIA,SAN FERNANDO (CHA),CHACO,H3500,,,,02/11/2006,TRABAJO - VIVIENDA - CONSUMO
